ICORG,CISLOFA,ICDOD,DODAVATEL,UCELPLATBY,CASTKA,DATVYST,DATSPLAT,PLOZKA,UCETNIID,POZN
66003008,2140000086,1528475,"StiBus, s.r.o.",Kompenzace slev z jízdného ve veřejné osobní dopravě za 11-12/2013 a 1/2014,2258,2014-01-31,2015-02-04,5192,FD1400426,
66003008,2140000158,1528475,"StiBus, s.r.o.",Kompenzace slev z jízdného ve veřejné osobní dopravě za 2-3/2014,3718,2014-03-31,2015-02-04,5192,FD1400738,
66003008,1695000415,48109193,XEROX CZECH REPUBLIC s.r.o.,DOBROPIS - zapékací jednotka,0,2014-09-17,2015-02-23,2391,FD1402385,
66003008,1695000415,48109193,XEROX CZECH REPUBLIC s.r.o.,DOBROPIS - zapékací jednotka,-0.13,2014-09-17,2015-02-23,2324,FD1402385,
66003008,2140000661,1528475,"StiBus, s.r.o.",Kompenzace slev z jízdného ve veřejné osobní dopravě za 4-9/2014,10560.90,2014-09-30,2015-02-04,5192,FD1402626,
66003008,2140000734,1528475,"StiBus, s.r.o.",Kompenzace slev z jízdného ve veřejné osobní dopravě za 10/2014,4407,2014-10-31,2015-02-04,5192,FD1402963,
66003008,9600214824,25775634,"PEAL, a.s.",DOBROPIS - občerstvení k FD 1402847,-345,2014-11-04,2015-02-24,2324,FD1403134,
66003008,9600214824,25775634,"PEAL, a.s.",DOBROPIS - občerstvení k FD 1402847,0,2014-11-04,2015-02-24,2391,FD1403134,
66003008,1015140008,49286871,CAR-TOUR spol.s.r.o.,Kompenzace slev z jízdného ve veřejné osobní dopravě za 10/2014,43386,2014-11-20,2015-01-22,5192,FD1403209,
66003008,9140100201,49702891,FLY UNITED s.r.o.,DOBROPIS - letenka - p. Nahodil Pavel 0603,-11996,2014-11-28,2015-01-16,2324,FD1403265,
66003008,9140100201,49702891,FLY UNITED s.r.o.,DOBROPIS - letenka - p. Nahodil Pavel 0603,0,2014-11-28,2015-01-16,2391,FD1403265,
66003008,9140100205,49702891,FLY UNITED s.r.o.,DOBROPIS letenka - p. Vokatý Tomáš 0629,0,2014-12-04,2015-01-16,2391,FD1403346,
66003008,9140100205,49702891,FLY UNITED s.r.o.,DOBROPIS letenka - p. Vokatý Tomáš 0629,-11985,2014-12-04,2015-01-16,2324,FD1403346,
